,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,dayofweek,hour,Clear,Mist,LightSnow,HeavyRain,spring,summer,fall,winter
0,1,0,0,1,0.741392239424,0.792816108001,1.19113540327,0.775436990311,3,13,16,5,0,1,0,0,0,1,0,0,0
1,1,0,0,1,0.720984076158,0.775811968835,1.18113540327,0.775436990311,8,32,40,5,1,1,0,0,0,1,0,0,0
2,1,0,0,1,0.720984076158,0.775811968835,1.18113540327,0.775436990311,5,27,32,5,2,1,0,0,0,1,0,0,0
3,1,0,0,1,0.741392239424,0.792816108001,1.13113540327,0.775436990311,3,10,13,5,3,1,0,0,0,1,0,0,0
4,1,0,0,1,0.741392239424,0.792816108001,1.13113540327,0.775436990311,0,1,1,5,4,1,0,0,0,1,0,0,0
5,1,0,0,2,0.741392239424,0.758919699006,1.13113540327,0.88076201676,0,1,1,5,5,0,1,0,0,1,0,0,0
6,1,0,0,1,0.720984076158,0.775811968835,1.18113540327,0.775436990311,2,0,2,5,6,1,0,0,0,1,0,0,0
7,1,0,0,1,0.700575912893,0.758919699006,1.24113540327,0.775436990311,1,2,3,5,7,1,0,0,0,1,0,0,0
8,1,0,0,1,0.741392239424,0.792816108001,1.13113540327,0.775436990311,1,7,8,5,8,1,0,0,0,1,0,0,0
9,1,0,0,1,0.823024892485,0.860608925989,1.14113540327,0.775436990311,8,6,14,5,9,1,0,0,0,1,0,0,0
10,1,0,0,1,0.884249382281,0.911397604812,1.14113540327,1.07366198149,12,24,36,5,10,1,0,0,0,1,0,0,0
11,1,0,0,1,0.863841219016,0.843604786824,1.19113540327,1.10880950706,26,30,56,5,11,1,0,0,0,1,0,0,0
12,1,0,0,1,0.925065708812,0.945294013807,1.15113540327,1.10880950706,29,55,84,5,12,1,0,0,0,1,0,0,0
13,1,0,0,2,0.965882035342,0.979190422801,1.10113540327,1.12632449472,47,47,94,5,13,0,1,0,0,1,0,0,0
14,1,0,0,2,0.965882035342,0.979190422801,1.10113540327,1.10880950706,35,71,106,5,14,0,1,0,0,1,0,0,0
15,1,0,0,2,0.945473872077,0.962298152972,1.15113540327,1.12632449472,40,70,110,5,15,0,1,0,0,1,0,0,0
16,1,0,0,2,0.925065708812,0.945294013807,1.20113540327,1.12632449472,41,52,93,5,16,0,1,0,0,1,0,0,0
17,1,0,0,2,0.945473872077,0.962298152972,1.20113540327,1.10880950706,15,52,67,5,17,0,1,0,0,1,0,0,0
18,1,0,0,3,0.925065708812,0.945294013807,1.26113540327,1.07366198149,9,26,35,5,18,0,0,1,0,1,0,0,0
19,1,0,0,3,0.925065708812,0.945294013807,1.26113540327,1.07366198149,6,31,37,5,19,0,0,1,0,1,0,0,0
20,1,0,0,2,0.904657545546,0.928401743978,1.25113540327,1.07366198149,11,25,36,5,20,0,1,0,0,1,0,0,0
21,1,0,0,2,0.904657545546,0.928401743978,1.25113540327,1.00348448061,3,31,34,5,21,0,1,0,0,1,0,0,0
22,1,0,0,2,0.904657545546,0.928401743978,1.32113540327,1.03863200618,11,17,28,5,22,0,1,0,0,1,0,0,0
23,1,0,0,2,0.965882035342,0.979190422801,1.26113540327,1.12632449472,15,24,39,5,23,0,1,0,0,1,0,0,0
24,1,0,0,2,0.965882035342,0.979190422801,1.26113540327,1.12632449472,4,13,17,6,0,0,1,0,0,1,0,0,0
25,1,0,0,2,0.945473872077,0.962298152972,1.32113540327,1.07366198149,1,16,17,6,1,0,1,0,0,1,0,0,0
26,1,0,0,2,0.925065708812,0.945294013807,1.38113540327,1.10880950706,1,8,9,6,2,0,1,0,0,1,0,0,0
27,1,0,0,2,0.965882035342,0.979190422801,1.32113540327,1.00348448061,2,4,6,6,3,0,1,0,0,1,0,0,0
28,1,0,0,2,0.965882035342,0.979190422801,1.32113540327,1.00348448061,2,1,3,6,4,0,1,0,0,1,0,0,0
29,1,0,0,3,0.925065708812,0.945294013807,1.15113540327,1.12632449472,0,2,2,6,6,0,0,1,0,1,0,0,0
30,1,0,0,2,0.904657545546,0.928401743978,1.14113540327,1.00348448061,0,1,1,6,7,0,1,0,0,1,0,0,0
31,1,0,0,3,0.904657545546,0.928401743978,1.09113540327,1.03863200618,0,8,8,6,8,0,0,1,0,1,0,0,0
32,1,0,0,2,0.884249382281,0.911397604812,1.14113540327,1.03863200618,1,19,20,6,9,0,1,0,0,1,0,0,0
33,1,0,0,2,0.863841219016,0.860608925989,1.19113540327,1.03863200618,7,46,53,6,10,0,1,0,0,1,0,0,0
34,1,0,0,2,0.863841219016,0.843604786824,1.09113540327,1.07366198149,16,54,70,6,11,0,1,0,0,1,0,0,0
35,1,0,0,2,0.863841219016,0.843604786824,1.04113540327,1.12632449472,20,73,93,6,12,0,1,0,0,1,0,0,0
36,1,0,0,2,0.863841219016,0.860608925989,1.04113540327,0.933306979731,11,64,75,6,13,0,1,0,0,1,0,0,0
37,1,0,0,3,0.863841219016,0.860608925989,1.14113540327,1.00348448061,4,55,59,6,14,0,0,1,0,1,0,0,0
38,1,0,0,3,0.84343305575,0.843604786824,1.19113540327,0.968454505299,19,55,74,6,15,0,0,1,0,1,0,0,0
39,1,0,0,3,0.84343305575,0.843604786824,1.09113540327,0.968454505299,9,67,76,6,16,0,0,1,0,1,0,0,0
40,1,0,0,1,0.84343305575,0.843604786824,0.95113540327,1.00348448061,7,58,65,6,17,1,0,0,0,1,0,0,0
41,1,0,0,2,0.863841219016,0.843604786824,0.84113540327,1.16147202029,10,43,53,6,18,0,1,0,0,1,0,0,0
42,1,0,0,1,0.823024892485,0.792816108001,0.80113540327,1.30182702205,1,29,30,6,19,1,0,0,0,1,0,0,0
43,1,0,0,1,0.80261672922,0.775811968835,0.77113540327,1.1965019956,5,17,22,6,20,1,0,0,0,1,0,0,0
44,1,0,0,1,0.761800402689,0.725023290012,0.82113540327,1.16147202029,11,20,31,6,21,1,0,0,0,1,0,0,0
45,1,0,0,1,0.741392239424,0.708019150847,0.82113540327,1.12632449472,0,9,9,6,22,1,0,0,0,1,0,0,0
46,1,0,0,1,0.720984076158,0.725023290012,0.85113540327,0.968454505299,0,8,8,6,23,1,0,0,0,1,0,0,0
47,1,0,1,1,0.720984076158,0.691126881018,0.82113540327,1.1965019956,0,5,5,0,0,1,0,0,0,1,0,0,0
48,1,0,1,1,0.700575912893,0.657230472023,0.82113540327,1.26667949648,0,2,2,0,1,1,0,0,0,1,0,0,0
49,1,0,1,1,0.659759586363,0.623334063029,0.85113540327,1.23164952117,0,1,1,0,4,1,0,0,0,1,0,0,0
50,1,0,1,1,0.659759586363,0.623334063029,0.85113540327,1.10880950706,0,3,3,0,5,1,0,0,0,1,0,0,0
51,1,0,1,1,0.639351423097,0.589437654035,0.88113540327,1.23164952117,0,30,30,0,6,1,0,0,0,1,0,0,0
52,1,0,1,1,0.639351423097,0.623334063029,0.88113540327,1.00348448061,1,63,64,0,7,1,0,0,0,1,0,0,0
53,1,0,1,1,0.639351423097,0.606329923864,0.88113540327,1.10880950706,1,153,154,0,8,1,0,0,0,1,0,0,0
54,1,0,1,1,0.659759586363,0.623334063029,0.81113540327,1.23164952117,7,81,88,0,9,1,0,0,0,1,0,0,0
55,1,0,1,1,0.680167749628,0.657230472023,0.81113540327,1.07366198149,11,33,44,0,10,1,0,0,0,1,0,0,0
56,1,0,1,1,0.700575912893,0.674122741852,0.78113540327,1.16147202029,10,41,51,0,11,1,0,0,0,1,0,0,0
57,1,0,1,1,0.720984076158,0.708019150847,0.73113540327,1.12632449472,13,48,61,0,12,1,0,0,0,1,0,0,0
58,1,0,1,1,0.741392239424,0.708019150847,0.73113540327,1.10880950706,8,53,61,0,13,1,0,0,0,1,0,0,0
59,1,0,1,1,0.761800402689,0.741915559841,0.68113540327,1.10880950706,11,66,77,0,14,1,0,0,0,1,0,0,0
60,1,0,1,1,0.761800402689,0.741915559841,0.68113540327,1.07366198149,14,58,72,0,15,1,0,0,0,1,0,0,0
61,1,0,1,1,0.761800402689,0.741915559841,0.68113540327,1.07366198149,9,67,76,0,16,1,0,0,0,1,0,0,0
62,1,0,1,1,0.741392239424,0.725023290012,0.68113540327,1.03863200618,11,146,157,0,17,1,0,0,0,1,0,0,0
63,1,0,1,1,0.741392239424,0.758919699006,0.70113540327,0.898277004417,9,148,157,0,18,1,0,0,0,1,0,0,0
64,1,0,1,1,0.700575912893,0.758919699006,0.85113540327,0.775436990311,8,102,110,0,19,1,0,0,0,1,0,0,0
65,1,0,1,1,0.700575912893,0.725023290012,0.85113540327,0.898277004417,3,49,52,0,20,1,0,0,0,1,0,0,0
66,1,0,1,1,0.680167749628,0.691126881018,1.02113540327,0.933306979731,3,49,52,0,21,1,0,0,0,1,0,0,0
67,1,0,1,1,0.639351423097,0.640226332858,1.07113540327,0.933306979731,0,20,20,0,22,1,0,0,0,1,0,0,0
68,1,0,1,1,0.680167749628,0.708019150847,0.93113540327,0.898277004417,1,11,12,0,23,1,0,0,0,1,0,0,0
69,1,0,1,1,0.659759586363,0.674122741852,0.93113540327,0.898277004417,0,5,5,1,0,1,0,0,0,1,0,0,0
70,1,0,1,1,0.659759586363,0.674122741852,0.97113540327,0.898277004417,0,2,2,1,1,1,0,0,0,1,0,0,0
71,1,0,1,1,0.639351423097,0.640226332858,1.01113540327,0.933306979731,0,1,1,1,2,1,0,0,0,1,0,0,0
72,1,0,1,1,0.639351423097,0.674122741852,1.01113540327,0.88076201676,0,2,2,1,4,1,0,0,0,1,0,0,0
73,1,0,1,1,0.618943259832,0.640226332858,1.06113540327,0.898277004417,0,4,4,1,5,1,0,0,0,1,0,0,0
74,1,0,1,1,0.618943259832,0.640226332858,1.12113540327,0.898277004417,0,36,36,1,6,1,0,0,0,1,0,0,0
75,1,0,1,1,0.618943259832,0.640226332858,1.12113540327,0.933306979731,2,92,94,1,7,1,0,0,0,1,0,0,0
76,1,0,1,1,0.639351423097,0.640226332858,1.07113540327,0.968454505299,2,177,179,1,8,1,0,0,0,1,0,0,0
77,1,0,1,1,0.659759586363,0.640226332858,1.02113540327,1.03863200618,2,98,100,1,9,1,0,0,0,1,0,0,0
78,1,0,1,2,0.659759586363,0.623334063029,1.07113540327,1.16147202029,5,37,42,1,10,0,1,0,0,1,0,0,0
79,1,0,1,1,0.720984076158,0.708019150847,0.89113540327,1.12632449472,7,50,57,1,11,1,0,0,0,1,0,0,0
80,1,0,1,1,0.720984076158,0.725023290012,0.89113540327,0.968454505299,12,66,78,1,12,1,0,0,0,1,0,0,0
81,1,0,1,1,0.741392239424,0.725023290012,0.94113540327,1.00348448061,18,79,97,1,13,1,0,0,0,1,0,0,0
82,1,0,1,1,0.761800402689,0.758919699006,0.90113540327,1.03863200618,9,54,63,1,14,1,0,0,0,1,0,0,0
83,1,0,1,1,0.782208565954,0.775811968835,0.90113540327,1.07366198149,17,48,65,1,15,1,0,0,0,1,0,0,0
84,1,0,1,1,0.80261672922,0.792816108001,0.87113540327,1.07366198149,15,68,83,1,16,1,0,0,0,1,0,0,0
85,1,0,1,1,0.782208565954,0.775811968835,0.86113540327,1.03863200618,10,202,212,1,17,1,0,0,0,1,0,0,0
86,1,0,1,1,0.761800402689,0.758919699006,0.86113540327,1.00348448061,3,179,182,1,18,1,0,0,0,1,0,0,0
87,1,0,1,1,0.741392239424,0.758919699006,0.86113540327,0.898277004417,2,110,112,1,19,1,0,0,0,1,0,0,0
88,1,0,1,1,0.741392239424,0.758919699006,0.86113540327,0.898277004417,1,53,54,1,20,1,0,0,0,1,0,0,0
89,1,0,1,1,0.720984076158,0.775811968835,1.02113540327,0.775436990311,0,48,48,1,21,1,0,0,0,1,0,0,0
90,1,0,1,1,0.720984076158,0.758919699006,1.02113540327,0.88076201676,1,34,35,1,22,1,0,0,0,1,0,0,0
91,1,0,1,1,0.700575912893,0.725023290012,1.07113540327,0.88076201676,2,9,11,1,23,1,0,0,0,1,0,0,0
92,1,0,1,1,0.700575912893,0.758919699006,1.02113540327,0.775436990311,0,6,6,2,0,1,0,0,0,1,0,0,0
93,1,0,1,1,0.659759586363,0.691126881018,1.12113540327,0.88076201676,0,6,6,2,1,1,0,0,0,1,0,0,0
94,1,0,1,1,0.659759586363,0.691126881018,1.12113540327,0.88076201676,0,2,2,2,2,1,0,0,0,1,0,0,0
95,1,0,1,1,0.741392239424,0.725023290012,0.86113540327,1.03863200618,0,2,2,2,4,1,0,0,0,1,0,0,0
96,1,0,1,1,0.720984076158,0.725023290012,0.85113540327,0.968454505299,0,3,3,2,5,1,0,0,0,1,0,0,0
